"","X","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"151",151,0,6,3,1,5,76,0,0
"152",152,1,4,3,1,5,51,0,0
"153",153,0,4,4,0,5,49,1,0
"154",154,0,4,4,1,5,59,0,0
"155",155,0,5,1,0,5,53,0,1
"156",156,0,5,1,0,5,61,0,0
"157",157,1,5,3,0,5,64,0,0
"158",158,1,3,2,1,4,62,0,1
"159",159,1,4,3,0,3,47,0,0
"160",160,0,5,5,1,5,57,1,0
"161",161,1,4,3,0,5,56,0,0
"162",162,0,2,3,1,5,64,0,1
"163",163,1,3,1,1,5,47,0,1
"164",164,0,2,1,1,4,31,0,1
"165",165,1,3,NA,1,1,32,0,1
"166",166,1,2,4,1,3,58,0,0
"167",167,1,5,2,1,5,46,0,1
"168",168,1,2,4,0,3,61,1,0
"169",169,0,2,2,1,4,68,0,1
"170",170,1,4,5,0,4,64,1,0
"171",171,0,1,3,1,3,59,0,1
"172",172,1,2,5,1,4,66,1,0
"173",173,0,3,2,1,5,51,0,1
"174",174,1,4,3,0,3,62,0,1
"175",175,0,3,5,1,3,59,0,0
"176",176,0,2,4,1,4,80,0,0
"177",177,0,4,4,1,5,59,1,0
"178",178,0,2,2,1,4,50,0,1
"179",179,0,6,3,1,5,66,0,0
"180",180,1,3,2,1,4,70,0,0
"181",181,1,3,2,1,5,40,0,0
"182",182,0,4,4,1,5,69,1,0
"183",183,0,2,5,0,3,59,0,0
"184",184,0,2,4,1,3,51,1,0
"185",185,0,5,5,0,5,64,1,0
"186",186,1,5,3,1,4,48,0,0
"187",187,0,2,5,0,4,58,1,0
"188",188,1,4,3,0,5,72,0,0
"189",189,1,2,3,0,5,52,0,0
"190",190,1,3,3,1,5,78,0,1
"191",191,1,2,3,0,4,34,0,1
"192",192,0,5,4,0,5,59,1,0
"193",193,0,2,4,1,1,53,1,0
"194",194,0,6,3,1,5,56,0,0
"195",195,1,3,2,1,5,86,0,1
"196",196,1,6,3,0,5,68,0,1
"197",197,1,2,NA,1,4,64,0,1
"198",198,1,3,2,1,5,64,0,1
"199",199,0,6,1,1,5,62,0,1
"200",200,0,3,3,1,5,38,0,0
"201",201,0,3,4,0,4,83,1,0
"202",202,0,2,4,1,5,72,1,0
"203",203,0,3,3,0,5,86,0,0
"204",204,0,2,4,0,3,71,0,0
"205",205,0,3,5,0,4,61,0,0
"206",206,0,4,3,1,NA,82,0,0
"207",207,1,5,4,0,5,69,0,0
"208",208,0,6,5,1,4,76,1,0
"209",209,1,2,2,1,5,64,0,1
"210",210,0,2,4,1,3,59,0,0
"211",211,1,5,2,1,5,71,0,1
"212",212,0,2,5,1,5,71,0,0
"213",213,1,4,3,1,5,56,0,1
"214",214,0,3,4,0,3,37,0,0
"215",215,0,5,5,0,3,61,1,0
"216",216,1,4,2,1,5,57,0,1
"217",217,1,5,3,1,5,33,0,1
"218",218,0,5,4,1,5,60,1,0
"219",219,0,4,1,1,3,63,0,0
"220",220,0,5,5,1,5,78,1,0
"221",221,0,3,4,0,1,58,0,0
"222",222,0,5,2,0,5,25,0,1
"223",223,0,3,2,0,4,53,0,0
"224",224,0,5,2,1,4,29,0,1
"225",225,0,5,4,0,4,61,1,0
"226",226,0,2,2,1,4,43,0,1
"227",227,0,5,4,1,4,80,1,0
"228",228,1,3,4,1,5,64,1,0
"229",229,1,5,5,1,5,61,1,0
"230",230,0,4,2,1,4,79,0,1
"231",231,1,4,3,0,5,80,0,0
"232",232,0,3,5,1,4,56,0,0
"233",233,0,3,4,1,4,78,1,0
"234",234,1,2,3,1,5,65,0,0
"235",235,1,3,1,1,4,67,0,0
"236",236,1,5,NA,0,2,53,0,0
"237",237,1,2,3,1,4,75,1,0
"238",238,1,6,3,0,5,36,0,0
"239",239,1,6,3,1,5,76,0,1
"240",240,0,3,3,1,4,72,0,0
"241",241,0,2,3,0,4,55,0,0
"242",242,1,3,1,0,5,59,0,1
"243",243,0,2,4,1,4,33,0,1
"244",244,1,2,4,1,4,90,0,0
"245",245,0,6,3,0,4,53,0,0
"246",246,0,5,3,1,4,67,0,0
"247",247,0,2,2,1,5,64,0,1
"248",248,0,4,2,0,4,58,0,1
"249",249,0,2,5,1,5,74,1,0
"250",250,0,5,5,1,4,56,0,0
"251",251,0,6,1,0,4,57,0,0
"252",252,1,6,3,0,5,61,0,0
"253",253,0,5,1,1,5,46,0,1
"254",254,0,2,NA,1,1,38,1,0
"255",255,1,2,3,1,1,45,1,0
"256",256,0,5,5,1,5,49,1,0
