"","COW","YEAR","additiveHR","respectHR","polity2","democracy","cat","cescr","cerd","ccpr","cedaw","crc","TREATY","TreatyCount"
"138",645,2010,3,-1.304726668,3,0,0,1,1,1,1,1,1,5
"139",651,2010,3,-0.77121121,-3,0,1,1,1,1,1,1,1,6
"140",652,2010,2,-1.034798397,-7,0,1,1,1,1,1,1,1,6
"141",660,2010,4,0.303954671,7,1,1,1,1,1,1,1,1,6
"142",663,2010,4,-0.201189365,-3,0,1,1,1,1,1,1,1,6
"143",666,2010,2,-1.350066175,10,1,1,1,1,1,1,1,1,6
"144",666.001,2010,NA,1.094182149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",666.002,2010,NA,-1.655546313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",666.003,2010,NA,-1.119349791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",670,2010,3,-0.575549713,-10,0,1,0,1,0,1,1,0.333333333,4
"148",679,2010,1,-1.357662223,-2,0,1,0,0,0,0,1,0,2
"149",690,2010,6,1.211746089,-7,0,1,1,1,1,1,1,1,6
"150",692,2010,5,0.97111455,-8,0,1,1,1,1,1,1,1,6
"151",694,2010,8,2.359235717,-10,0,1,0,1,0,1,1,0.333333333,4
"152",696,2010,6,1.56973564,-8,0,0,0,0,0,1,1,0,2
"153",698,2010,8,2.787087988,-8,0,0,0,1,0,1,1,0.333333333,3
"154",700,2010,3,-1.325797469,NA,NA,1,1,0,1,1,1,0.666666667,5
"155",701,2010,4,0.13723406,-9,0,1,1,0,1,1,1,0.666666667,5
"156",702,2010,4,0.622988476,-3,0,1,1,1,1,1,1,1,6
"157",703,2010,4,-0.160895195,7,1,1,1,1,1,1,1,1,6
"158",704,2010,4,-0.017781467,-9,0,1,1,1,1,1,1,1,6
"159",705,2010,4,0.164690188,-6,0,1,1,1,1,1,1,1,6
"160",710,2010,0,-1.4259858,-7,0,1,1,1,1,1,1,1,6
"161",712,2010,6,0.703685108,10,1,1,1,1,1,1,1,1,6
"162",713,2010,8,3.349242868,10,1,0,0,0,0,0,0,0,0
"163",731,2010,0,-2.03894323,-9,0,0,1,0,1,1,1,0.666666667,4
"164",732,2010,5,0.633210818,8,1,1,1,1,1,1,1,1,6
"165",740,2010,6,2.013097295,10,1,1,1,1,1,0,1,1,5
"166",750,2010,0,-1.460759337,9,1,0,1,1,1,1,1,1,5
"167",760,2010,5,1.036171719,3,0,0,0,0,0,1,1,0,2
"168",770,2010,0,-1.896619558,6,0,1,1,1,1,0,1,1,5
"169",771,2010,2,-1.197322558,5,0,1,1,1,1,1,1,1,6
"170",775,2010,1,-1.91465821,-6,0,0,0,0,0,1,1,0,2
"171",780,2010,1,-1.706930949,4,0,1,1,1,1,1,1,1,6
"172",781,2010,6,1.602435943,NA,NA,1,1,1,1,1,1,1,6
"173",790,2010,2,-0.976081149,6,0,1,1,1,1,1,1,1,6
"174",800,2010,1,-0.947900239,4,0,1,1,1,1,1,1,1,6
"175",811,2010,4,-0.145226187,2,0,1,1,1,1,1,1,1,6
"176",812,2010,6,1.013349961,-7,0,0,1,1,1,1,1,1,5
"177",816,2010,3,0.163706609,NA,NA,0,1,1,1,1,1,1,5
"178",820,2010,5,0.865103371,6,0,0,0,0,0,1,1,0,2
"179",830,2010,7,2.021709835,-2,0,0,0,0,0,1,1,0,2
"180",835,2010,8,3.213141861,NA,NA,0,0,0,0,1,1,0,2
"181",840,2010,1,-1.278451082,8,1,1,1,1,1,1,1,1,6
"182",850,2010,3,-0.248475506,8,1,1,0,1,1,1,1,0.666666667,5
"183",860,2010,7,1.173705388,7,1,1,1,1,1,1,1,1,6
"184",900,2010,7,1.902349352,10,1,1,1,1,1,1,1,1,6
"185",910,2010,5,0.165743718,4,0,0,1,1,1,1,1,1,5
"186",920,2010,8,3.204119452,10,1,1,1,1,1,1,1,1,6
"187",935,2010,7,1.767965119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",940,2010,8,3.029170061,8,1,0,1,1,0,1,1,0.666666667,4
"189",946,2010,8,3.960976214,NA,NA,0,0,0,0,1,1,0,2
"190",947,2010,8,3.936963983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",950,2010,6,1.143669346,-4,0,0,0,1,0,1,1,0.333333333,3
"192",955,2010,8,2.285321906,NA,NA,0,0,1,0,0,1,0.333333333,2
"193",970,2010,8,3.912237343,NA,NA,1,0,0,0,0,1,0,2
"194",983,2010,7,3.266438399,NA,NA,0,0,0,0,1,1,0,2
"195",986,2010,8,4.036407665,NA,NA,0,0,0,0,0,1,0,1
"196",987,2010,8,2.390475002,NA,NA,0,0,0,0,1,0,0,1
"197",990,2010,7,2.103577289,NA,NA,0,0,0,1,1,1,0.333333333,3
